instructor,instructor_first_name,course,course_name,num_excellence_awards,num_outstanding_awards,uiuc_award,national_award,rmp_num_reviews,rmp_rating,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,term,num_sections,gened,num_semesters,num_students,avg_gpa,total_faculty_awards,teaching_next_semester
Brosseder,Claudia,HIST 307: History of Mexico from 1519,History of Mexico from 1519,3.0,0.0,[],[],8.0,2.3,0.11594202898550725,0.4492753623188406,0.2028985507246377,0.10869565217391304,0.08695652173913043,0.014492753623188406,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.0,0.0,0.0,0.0,"['fa2020', 'fa2021', 'fa2023', 'fa2024', 'sp2022', 'fa2025']",6.0,,5,138.0,3.710507246376811,0,True
van der Velde,Adrian,HIST 308: The Caribbean Since 1492: From Columbus to Castro,The Caribbean Since 1492: From Columbus to Castro,0.0,0.0,[],[],0.0,,0.23076923076923078,0.11538461538461539,0.23076923076923078,0.038461538461538464,0.11538461538461539,0.0,0.11538461538461539,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,['fa2021'],1.0,,1,26.0,3.051538461538461,0,False
Brennan,James,HIST 311: Global History of Intelligence,Global History of Intelligence,4.0,0.0,[],[],22.0,3.8,0.013333333333333334,0.3466666666666667,0.25333333333333335,0.13333333333333333,0.09333333333333334,0.04,0.013333333333333334,0.0,0.04,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.013333333333333334,"['fa2019', 'fa2020', 'fa2022', 'fa2023', 'sp2018', 'sp2021', 'fa2025']",6.0,,6,75.0,3.3517333333333337,0,True
Fortado,Stephanie,HIST 312: Immigrant America,Immigrant America,1.0,0.0,[],[],0.0,,0.08333333333333333,0.3333333333333333,0.125,0.041666666666666664,0.125,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,['fa2021'],1.0,,1,24.0,3.1954166666666666,0,False
Ramirez,Yuridia,HIST 312: Immigrant America,Immigrant America,6.0,0.0,[],[],0.0,,0.41379310344827586,0.3103448275862069,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,"['sp2022', 'sp2023']",1.0,,2,29.0,3.689655172413793,0,False
Espiritu,Augusto,HIST 312: Immigrant America,Immigrant America,1.0,1.0,[],[],17.0,3.8,0.04,0.38,0.14,0.08,0.1,0.16,0.0,0.02,0.0,0.02,0.02,0.0,0.04,"['fa2021', 'sp2020', 'sp2024', 'sp2025']",3.0,,3,50.0,3.2740000000000005,0,False
Asaka,Ikuko,HIST 316: Global Histories of Gender,Global Histories of Gender,3.0,2.0,[],[],7.0,4.4,0.08695652173913043,0.6521739130434783,0.17391304347826086,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['sp2023', 'fa2025']",1.0,,1,23.0,3.8843478260869566,0,True
Asaka,Ikuko,HIST 317: Birth of US Empire,Birth of US Empire,3.0,2.0,[],[],7.0,4.4,0.0,0.52,0.2,0.04,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.12,0.0,"['fa2022', 'sp2025']",1.0,,1,25.0,3.2676,0,False
Goffman,Laura,HIST 335: Middle East 1566-1914,Middle East 1566-1914,3.0,1.0,[],[],0.0,,0.21818181818181817,0.5272727272727272,0.09090909090909091,0.05454545454545454,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.07272727272727272,"['fa2023', 'fa2024']",2.0,,2,55.0,3.582,0,False
Goffman,Laura,HIST 337: Middle East Since World War I,Middle East Since World War I,3.0,1.0,[],[],0.0,,0.40625,0.34375,0.1875,0.0,0.03125,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,"['sp2024', 'sp2025', 'fa2025']",1.0,,1,32.0,3.844375,0,True
Maggid Alon,Liat,HIST 337: Middle East Since World War I,Middle East Since World War I,0.0,0.0,[],[],0.0,,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.0,0.11538461538461539,0.038461538461538464,"['fa2022', 'sp2020', 'fa2021']",2.0,,3,26.0,2.4880769230769237,0,False
Cuno,Kenneth,HIST 337: Middle East Since World War I,Middle East Since World War I,1.0,1.0,[],[],0.0,,0.0,0.22727272727272727,0.09090909090909091,0.4090909090909091,0.13636363636363635,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,"['sp2018', 'sp2021']",2.0,,2,22.0,3.1654545454545455,0,False
Koslofsky,Craig,HIST 344: Early Modern British Isles,Early Modern British Isles,6.0,1.0,['Campus Award for Excellence in Undergraduate Teaching – Faculty'],[],16.0,2.7,0.0,0.25,0.20833333333333334,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,"['sp2021', 'sp2022']",1.0,,2,24.0,3.3616666666666664,1,False
Symes,Carol,HIST 345: Medieval Civilization,Medieval Civilization,7.0,5.0,"[""LAS - Dean's Awards for Excellence in Undergraduate Teaching""]",[],55.0,3.6,0.13793103448275862,0.5172413793103449,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,"['sp2024', 'sp2019']",1.0,,2,29.0,3.758965517241379,1,False
McLaughlin,M,HIST 345: Medieval Civilization,Medieval Civilization,0.0,0.0,[],[],0.0,,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.391304347826087,0.08695652173913043,0.08695652173913043,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,['sp2022'],1.0,,1,23.0,3.071739130434783,0,False
Djordjevic,Stefan,HIST 346: The Age of the Renaissance,The Age of the Renaissance,0.0,3.0,[],[],0.0,,0.05714285714285714,0.5142857142857142,0.17142857142857143,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,['fa2024'],1.0,,1,35.0,3.629142857142857,0,False
Koslofsky,Craig,HIST 347: Protestant & Catholic Refs,Protestant &amp; Catholic Refs,6.0,1.0,['Campus Award for Excellence in Undergraduate Teaching – Faculty'],[],16.0,2.7,0.0,0.28,0.12,0.2,0.2,0.08,0.0,0.0,0.04,0.0,0.04,0.04,0.0,"['fa2019', 'fa2023', 'fa2020']",2.0,,3,25.0,3.1736,1,False
van der Velde,Adrian,HIST 348: Early Euro Absolut & Expansion,Early Euro Absolut &amp; Expansion,0.0,0.0,[],[],0.0,,0.09523809523809523,0.47619047619047616,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,['sp2022'],1.0,,1,21.0,3.508571428571429,0,False
Hein,Rhiannon,"HIST 349: Age of Revolution, 1775-1815","Age of Revolution, 1775-1815",0.0,0.0,[],[],0.0,,0.03333333333333333,0.3333333333333333,0.16666666666666666,0.1,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.13333333333333333,['fa2023'],1.0,,1,30.0,2.978,0,False
Jaimes,Marco,HIST 350: 19thC Romanticism & Politics,19thC Romanticism &amp; Politics,8.0,4.0,[],[],0.0,,0.0,0.29508196721311475,0.4262295081967213,0.13114754098360656,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.0,0.0,0.03278688524590164,0.0,0.0,0.04918032786885246,"['fa2022', 'sp2024', 'fa2025']",2.0,,2,61.0,3.4052459016393444,0,True
Whittington,Anna,HIST 352: Europe in the World,Europe in the World,3.0,1.0,[],[],0.0,,0.0,0.24,0.16,0.12,0.24,0.12,0.08,0.0,0.04,0.0,0.0,0.0,0.0,"['sp2024', 'sp2025']",1.0,,1,25.0,3.2404,0,False
Allen,Ryan,HIST 352: Europe in the World,Europe in the World,3.0,0.0,[],[],0.0,,0.0,0.5833333333333334,0.16666666666666666,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.125,['sp2022'],1.0,,1,24.0,3.2504166666666667,0,False
Micale,Mark,HIST 353: European History 1918 to 1939,European History 1918 to 1939,0.0,4.0,['Campus Award for Excellence in Undergraduate Teaching – Faculty'],[],49.0,4.4,0.2413793103448276,0.5517241379310345,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['fa2023'],1.0,,1,29.0,3.8393103448275863,1,False
Jaimes,Marco,HIST 353: European History 1918 to 1939,European History 1918 to 1939,8.0,4.0,[],[],0.0,,0.0,0.4230769230769231,0.3076923076923077,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,"['fa2019', 'sp2022']",2.0,,2,26.0,3.565,0,False
Fritzsche,Peter,HIST 353: European History 1918 to 1939,European History 1918 to 1939,0.0,0.0,[],[],35.0,2.4,0.0,0.4583333333333333,0.125,0.125,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.125,0.0,0.041666666666666664,0.0,0.0,"['fa2020', 'fa2022', 'fa2024']",2.0,,3,24.0,3.2783333333333338,0,False
