Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed,pctIL_Tests,pctUS_Tests,pctIL_Confirmed,pctUS_Confirmed,ILxUIUC_pctPos,Illinois_pctPos
2020-10-18,582222.0,2780,1183320.0,25277.0,6779140.0,347631,9474,124792140.0,8135180,220109,6196918.0,344851,8.588434521192953,0.4665534223549656,0.7996985309135262,0.03417256901506789,5.564879186718301,5.127951333059945
2020-10-19,592833.0,2798,1212924.0,25596.0,6827824.0,350744,9496,126031557.0,8201980,220574,6234991.0,347946,8.682605175528836,0.4703845720163562,0.7977328193782359,0.03411371400564254,5.580537325555081,5.1369806837434595
2020-10-20,602797.0,2816,1229498.0,25746.0,6886901.0,354457,9537,126938489.0,8263008,221510,6284104.0,351641,8.752804781134504,0.47487330655086024,0.7944546164979109,0.03407959909998877,5.595722158640277,5.146828740532207
2020-10-21,612436.0,2836,1246785.0,25901.0,6953692.0,358799,9605,127823561.0,8325891,222627,6341256.0,355963,8.80735010984093,0.4791260665942486,0.7904146890041499,0.03406242046647019,5.613446295181901,5.159834516685525
2020-10-22,621017.0,2859,1266307.0,26066.0,7034669.0,363740,9647,128962980.0,8400991,223500,6413652.0,360881,8.827949118856907,0.48154671984161657,0.7860009897179304,0.034031699355468896,5.626763036098622,5.170676829286495
2020-10-23,630301.0,2881,1287196.0,26400.0,7118051.0,368740,9688,130243113.0,8481812,224441,6487750.0,365859,8.85496605742218,0.4839419033235178,0.781309323642675,0.03396679860388323,5.6392277754229125,5.180350632497576
2020-10-24,634171.0,2896,1294878.0,26510.0,7201568.0,374901,9751,131453610.0,8564592,225383,6567397.0,372005,8.806012801656529,0.4824295049789808,0.7724705989047775,0.03381363642307771,5.664420774318958,5.205824620415998
2020-10-25,639106.0,2919,1313591.0,26770.0,7273665.0,378958,9775,132566759.0,8626352,225761,6634559.0,376039,8.786574581039957,0.4821012483227413,0.770270056312309,0.03383817400449228,5.667882371684388,5.210000735530163
2020-10-26,650218.0,2993,1345202.0,27241.0,7330929.0,383687,9792,133748444.0,8692595,226265,6680711.0,380694,8.869517083032724,0.4861499547613429,0.7800629158663182,0.034431605291630404,5.698405454150015,5.233811430993262
2020-10-27,660512.0,3029,1362509.0,27460.0,7393003.0,387687,9838,138455519.0,8768402,227240,6732491.0,384658,8.934285567042242,0.4770571839754542,0.7813003789139177,0.03454449282776953,5.713457322111534,5.243971901539875
2020-10-28,670091.0,3063,1379939.0,27680.0,7463755.0,393797,9889,139511385.0,8846899,228241,6793664.0,390734,8.977934029185041,0.48031277160641767,0.7778119183234001,0.0346223009893071,5.751447230831551,5.27612441726718
2020-10-29,679071.0,3090,1398540.0,27862.0,7546811.0,400159,9945,142673180.0,8936997,229214,6867740.0,397069,8.998118543050833,0.47596261609925566,0.7721930532613286,0.03457537246571751,5.781654518080184,5.302358837395027
2020-10-30,689858.0,3129,1422569.0,28305.0,7643468.0,408648,9994,144792611.0,9035265,230232,6953610.0,405519,9.025458077406748,0.47644558326253267,0.7656956598343807,0.03463097097871507,5.831776587988109,5.346368951894611
2020-10-31,693380.0,3138,1430315.0,28432.0,7736104.0,416547,10040,146148909.0,9123994,231123,7042724.0,413409,8.962909495529015,0.4744339213644079,0.7533363582020757,0.03439283278792161,5.87001563599539,5.384454500611677
2020-11-01,698203.0,3155,1448725.0,28819.0,7814562.0,423527,10075,147216953.0,9199595,231531,7116359.0,420372,8.9346402267971,0.4742680688412292,0.744934797545375,0.03429498798588416,5.907121886346656,5.419715142064264
2020-11-02,710148.0,3237,1481083.0,29487.0,7882680.0,429749,10093,148634686.0,9281802,232066,7172532.0,426512,9.008966493629071,0.4777808054843941,0.7532303740090146,0.03487469351317772,5.94646353616826,5.45181334267026
2020-11-03,716089.0,3277,1494955.0,29814.0,7965115.0,436265,10161,149760910.0,9405633,233638,7249026.0,432988,8.990315896255108,0.4781548135624977,0.751148957628964,0.03484082357880645,5.973050724331793,5.477196499987759
2020-11-04,727626.0,3357,1514400.0,30139.0,8036972.0,443803,10216,150968029.0,9508154,234711,7309346.0,440446,9.05348432220493,0.4819735707088022,0.7564166983999657,0.03530653794627222,6.025792184417046,5.522017496141582
