Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed,pctIL_Tests,pctUS_Tests,pctIL_Confirmed,pctUS_Confirmed,ILxUIUC_pctPos,Illinois_pctPos
2020-08-17,45946.0,124.0,81158.0,801.0,3406429.0,209185,7967,68055266.0,5436400,170474,3360483.0,209061.0,1.3488025143045694,0.0675127770421175,0.059277672873293975,0.0022809211978515194,6.2211592797821025,6.140888302677085
2020-08-18,52108.0,144.0,89276.0,878.0,3440604.0,210924,7994,68704049.0,5481761,171799,3388496.0,210780.0,1.5145015235696988,0.07584414711860724,0.06827103601297149,0.00262689307322957,6.22045887024804,6.130435237533875
2020-08-19,58408.0,173.0,97807.0,920.0,3490903.0,213220,8017,69369194.0,5529096,173152,3432495.0,213047.0,1.673148752629334,0.08419875831338043,0.08113685395366288,0.0031289020845360616,6.206767963245395,6.107875240303153
2020-08-20,69150.0,225.0,114583.0,997.0,3542515.0,215052,8044,70030422.0,5573184,174231,3473365.0,214827.0,1.9520030260986898,0.09874280066454548,0.10462585793203505,0.004037189513211838,6.18498199872458,6.070602382770433
2020-08-21,80027.0,279.0,132904.0,1123.0,3594336.0,217345,8066,70801996.0,5621406,175336,3514309.0,217066.0,2.2264752098857756,0.11302929934348178,0.12836734224389795,0.004963171135477494,6.17663387027151,6.046874860892248
2020-08-22,83353.0,322.0,138937.0,1193.0,3651102.0,219701,8083,71559257.0,5665821,176318,3567749.0,219379.0,2.282954570976105,0.11648108643721664,0.1465628285715586,0.0056832010753604814,6.148947137256573,6.017388722637714
2020-08-23,87827.0,375.0,147942.0,1276.0,3705453.0,221594,8089,72181568.0,5700251,176768,3617626.0,221219.0,2.370209526338615,0.12167510686384646,0.1692284087114272,0.006578657676653186,6.115032344415924,5.980213485368726
2020-08-24,105483.0,454.0,180371.0,2011.0,3741608.0,223206,8097,72888396.0,5738111,177210,3636125.0,222752.0,2.819188969020806,0.1447185091026012,0.2033995501913031,0.007912011461611669,6.126082024132834,5.965510016014505
2020-08-25,121333.0,543.0,201126.0,3168.0,3782467.0,224887,8126,73534306.0,5776347,178449,3661134.0,224344.0,3.2077741854720743,0.1650018972097187,0.24145459719770374,0.009400404788701232,6.127718898024492,5.945511223230764
2020-08-26,128145.0,597.0,215806.0,3418.0,3832829.0,227043,8163,74547615.0,5821451,179674,3704684.0,226446.0,3.343352912431001,0.1718968474041725,0.2629457856000846,0.010255175213189976,6.112424163572386,5.923640214577796
2020-08-27,143268.0,657.0,235563.0,3652.0,3877339.0,228750,8186,75299792.0,5867327,180785,3734071.0,228093.0,3.6950083549568404,0.19026347376895808,0.2872131147540984,0.01119760326976833,6.108426968849816,5.899664692718383
2020-08-28,158298.0,722.0,258222.0,4196.0,3926007.0,231186,8206,76083027.0,5913537,181756,3767709.0,230464.0,4.032035602585528,0.208059545264938,0.31230264808422653,0.01220927509204728,6.116820593097821,5.888578395300875
2020-08-29,161193.0,772.0,264477.0,4308.0,3974791.0,233066,8217,76848404.0,5959561,182714,3813598.0,232294.0,4.055383037749658,0.20975451877959625,0.3312366454137455,0.01295397429441531,6.091203110553341,5.863603897664054
2020-08-30,164833.0,876.0,275524.0,4783.0,4018484.0,235058,8228,77589609.0,5994918,183024,3853651.0,234182.0,4.101870257539908,0.2124421067774681,0.37267397833726146,0.014612376683050543,6.076886568088288,5.8494198309611285
2020-08-31,182060.0,1106.0,313657.0,6450.0,4065863.0,236724,8235,78290807.0,6029439,183597,3883803.0,235618.0,4.477770156052971,0.23254326654213694,0.4672107602102026,0.018343331775974515,6.066682578905263,5.822232573994746
2020-09-01,196427.0,1305.0,335546.0,7711.0,4088824.0,238216,8273,78994753.0,6071975,184664,3892397.0,236911.0,4.803997433002741,0.24865828746878924,0.5478221446082547,0.021492183350557272,6.086506592210404,5.826027239127925
2020-09-02,203516.0,1425.0,350561.0,8773.0,4121575.0,240344,8300,79644494.0,6112591,185720,3918059.0,238919.0,4.93782109994359,0.2555305329706784,0.5929001764138069,0.023312536369601695,6.097891838790585,5.831363010499627
2020-09-03,218357.0,1513.0,370984.0,9228.0,4162370.0,241704,8324,80379571.0,6156516,186790,3944013.0,240191.0,5.245977652154902,0.27165733442394213,0.6259722635951411,0.024575587881197743,6.090015423377154,5.806884058841478
2020-09-04,232561.0,1617.0,407792.0,10297.0,4311869.0,247298,8362,81291589.0,6206631,187755,4079308.0,245681.0,5.393508012418745,0.2860824875744525,0.6538669944762998,0.02605278129149292,6.022614619930636,5.735285557144709
2020-09-05,235170.0,1654.0,416108.0,10590.0,4373804.0,250102,8385,82097849.0,6250682,188538,4138634.0,248448.0,5.3767841448770906,0.2864508666968851,0.6613301772876666,0.02646111256339708,6.003140166538041,5.718180329982779
